Date,Open,High,Low,Close,Adj Close,Volume
5/27/02,1670.349976,1671.349976,1607.300049,1615.72998,1615.72998,6006430000
6/3/02,1613.5,1621.5,1495.810059,1535.47998,1535.47998,8879440000
6/10/02,1536.97998,1551.800049,1445.439941,1504.73999,1504.73999,8667260000
6/17/02,1519.650024,1567.98999,1435.849976,1440.959961,1440.959961,8580670000
6/24/02,1429.560059,1486.25,1375.530029,1463.209961,1463.209961,10510860000
7/1/02,1457.040039,1459.839966,1336.060059,1448.359985,1448.359985,8825220000
7/8/02,1439.849976,1452.560059,1323.589966,1373.5,1373.5,9566360000
7/15/02,1365.790039,1426.280029,1309.939941,1319.150024,1319.150024,11074510000
7/22/02,1309.839966,1332.099976,1192.420044,1262.119995,1262.119995,10465840000
7/29/02,1286.810059,1354.47998,1235.569946,1247.920044,1247.920044,8274390000
8/5/02,1243.380005,1322.069946,1205.680054,1306.119995,1306.119995,7251460000
8/12/02,1293.880005,1368.689941,1265.189941,1361.01001,1361.01001,7286200000
8/19/02,1362.290039,1426.76001,1359.140015,1380.619995,1380.619995,7414220000
8/26/02,1387.199951,1396.400024,1295.790039,1314.849976,1314.849976,6570230000
9/2/02,1302.670044,1304.02002,1251,1295.300049,1295.300049,5728440000
9/9/02,1286.75,1347.27002,1270.589966,1291.400024,1291.400024,6222990000
9/16/02,1286.849976,1298.5,1216.189941,1221.089966,1221.089966,7485740000
9/23/02,1209.130005,1239.619995,1169.040039,1199.160034,1199.160034,7909610000
9/30/02,1187.47998,1222.719971,1135.27002,1139.900024,1139.900024,8388810000
10/7/02,1135.790039,1220.119995,1108.48999,1210.469971,1210.469971,8755900000
10/14/02,1198.5,1288.079956,1193.420044,1287.859985,1287.859985,8287810000
10/21/02,1276.76001,1331.329956,1267.76001,1331.130005,1331.130005,8308730000
10/28/02,1345.719971,1360.829956,1279.189941,1360.699951,1360.699951,8514680000
11/4/02,1394.569946,1420.030029,1354.280029,1359.280029,1359.280029,9628960000
11/11/02,1355.099976,1413.530029,1319.069946,1411.140015,1411.140015,8185550000
11/18/02,1422.540039,1475.349976,1367.76001,1468.73999,1468.73999,9559890000
11/25/02,1470.640015,1497.439941,1441.119995,1478.780029,1478.780029,6456380000
12/2/02,1507.939941,1521.439941,1391.099976,1422.439941,1422.439941,8455270000
12/9/02,1411.400024,1411.689941,1362.420044,1362.420044,1362.420044,7170580000
12/16/02,1367.73999,1408.160034,1346.180054,1363.050049,1363.050049,7919220000
12/23/02,1359.920044,1392.579956,1346.650024,1348.310059,1348.310059,3334210000
12/30/02,1349.430054,1389.439941,1327.189941,1387.079956,1387.079956,4680480000
1/6/03,1390.189941,1457.449951,1390.089966,1447.719971,1447.719971,8118770000
1/13/03,1461.72998,1467.349976,1376.180054,1376.189941,1376.189941,7018850000
1/20/03,1380.430054,1393.670044,1340.219971,1342.140015,1342.140015,5967790000
1/27/03,1329.810059,1363.310059,1303.640015,1320.910034,1320.910034,7355490000
2/3/03,1324.73999,1335.76001,1278.540039,1282.469971,1282.469971,6440000000
2/10/03,1286.51001,1315.040039,1261.790039,1310.170044,1310.170044,6369550000
2/17/03,1319.98999,1352.069946,1316.040039,1349.02002,1349.02002,5146480000
2/24/03,1342.5,1343.089966,1291.959961,1337.52002,1337.52002,6418010000
3/3/03,1344.209961,1353.310059,1280.719971,1305.290039,1305.290039,6534260000
3/10/03,1295.459961,1352.839966,1253.219971,1340.329956,1340.329956,7305440000
3/17/03,1329.949951,1425.72998,1326.280029,1421.839966,1421.839966,8721690000
3/24/03,1390.040039,1400.140015,1367.890015,1369.599976,1369.599976,6979320000
3/31/03,1351.609985,1412.079956,1336.609985,1383.51001,1383.51001,7430390000
4/7/03,1425.22998,1430.109985,1351.099976,1358.849976,1358.849976,6613830000
4/14/03,1361.349976,1425.5,1359.319946,1425.5,1425.5,5665140000
4/21/03,1425.959961,1468.079956,1413.709961,1434.540039,1434.540039,7880770000
4/28/03,1437.859985,1504.219971,1435.349976,1502.880005,1502.880005,8067560000
5/5/03,1508.310059,1531.819946,1486.910034,1520.150024,1520.150024,9163660000
5/12/03,1518.52002,1552.97998,1512.719971,1538.530029,1538.530029,9235540000
5/19/03,1530.380005,1536.040039,1478.150024,1510.089966,1510.089966,8205560000
5/26/03,1504.869995,1599.920044,1504.219971,1595.910034,1595.910034,8518570000
6/2/03,1612.099976,1684.060059,1584.699951,1627.420044,1627.420044,12512810000
6/9/03,1623,1661.119995,1597.319946,1626.48999,1626.48999,9184390000
6/16/03,1633.800049,1686.099976,1629.589966,1644.719971,1644.719971,9688100000
6/23/03,1642.329956,1653.73999,1598.25,1625.26001,1625.26001,7992870000
6/30/03,1634.859985,1683.77002,1598.920044,1663.459961,1663.459961,6316200000
7/7/03,1685.410034,1758.180054,1685.410034,1733.930054,1733.930054,9219170000
7/14/03,1757.430054,1776.099976,1688.819946,1708.5,1708.5,9324940000
7/21/03,1706.150024,1740.800049,1675.180054,1730.699951,1730.699951,8533230000
7/28/03,1734.680054,1757.369995,1713.209961,1715.619995,1715.619995,8095890000
8/4/03,1714.839966,1723.27002,1640.880005,1644.030029,1644.030029,8153430000
8/11/03,1646.949951,1705.329956,1646.589966,1702.01001,1702.01001,5998340000
8/18/03,1707.170044,1812.48999,1706.930054,1765.319946,1765.319946,8135130000
8/25/03,1763.780029,1813.819946,1737.150024,1810.449951,1810.449951,6523120000
9/1/03,1817.920044,1879.699951,1804.300049,1858.23999,1858.23999,7945520000
9/8/03,1863.880005,1888.650024,1819.420044,1855.030029,1855.030029,9716520000
9/15/03,1857.119995,1913.73999,1843.790039,1905.699951,1905.699951,9052530000
9/22/03,1881.420044,1904.130005,1792.060059,1792.069946,1792.069946,9671440000
9/29/03,1801.550049,1891.619995,1783.459961,1880.569946,1880.569946,8971580000
10/6/03,1884.640015,1936.930054,1876,1915.310059,1915.310059,8566410000
10/13/03,1924.060059,1966.869995,1910.23999,1912.359985,1912.359985,8786230000
